user_id,rating_count,avg_rating_given,first_rating_date,last_rating_date,unique_products_rated,user_segment
A5JLAU2ARJ0BO,520,3.8615384615384616,2000-04-28,2014-06-27,520,high_activity_user
ADLVFFE4VBT8,501,4.283433133732535,2002-08-14,2014-07-15,501,high_activity_user
A3OXHLG6DIBRW8,498,4.451807228915663,2003-06-03,2014-07-12,498,high_activity_user
A6FIAB28IS79,431,4.183294663573085,2001-03-26,2014-07-11,431,high_activity_user
A680RUE1FDO8B,406,4.406403940886699,2005-03-27,2014-07-19,406,high_activity_user
A1ODOGXEYECQQ8,380,4.3052631578947365,2003-10-13,2014-07-18,380,high_activity_user
A36K2N527TXXJN,314,4.525477707006369,2008-07-13,2014-06-27,314,high_activity_user
A2AY4YUOX2N1BQ,311,4.559485530546624,2009-12-10,2014-06-09,311,high_activity_user
AWPODHOB4GFWL,308,4.392857142857143,2001-12-20,2014-07-21,308,high_activity_user
A25C2M3QF9G7OQ,296,4.625,2007-04-25,2014-07-17,296,high_activity_user
ARBKYIVNYWK3C,296,4.4358108108108105,2006-05-22,2014-07-14,296,high_activity_user
A22CW0ZHY3NJH8,292,4.260273972602739,2007-05-07,2014-07-18,292,high_activity_user
A3EXWV8FNSSFL6,282,4.5212765957446805,2007-06-04,2014-07-06,282,high_activity_user
A38RMU1Y5TDP9,282,4.326241134751773,2006-06-24,2014-07-22,282,high_activity_user
A3LGT6UZL99IW1,279,4.186379928315413,2002-02-16,2014-07-23,279,high_activity_user
A2NOW4U7W3F7RI,277,4.79783393501805,2006-03-29,2014-07-17,277,high_activity_user
A23GFTVIETX7DS,270,4.396296296296296,2001-12-04,2014-07-01,270,high_activity_user
A3PD8JD9L4WEII,266,4.345864661654136,2005-01-09,2014-07-09,266,high_activity_user
A17BUUBOU0598B,261,3.4406130268199235,2004-06-01,2013-09-18,261,high_activity_user
A3AYSYSLHU26U9,257,4.330739299610895,2008-05-27,2014-07-21,257,high_activity_user
A2XRMQA6PJ5ZJ8,253,4.592885375494071,2002-11-16,2014-07-10,253,high_activity_user
A12DQZKRKTNF5E,252,4.23015873015873,2001-08-19,2014-07-22,252,high_activity_user
A231WM2Z2JL0U3,252,4.309523809523809,2000-07-29,2010-04-05,252,high_activity_user
A1UQBFCERIP7VJ,247,4.558704453441296,2009-06-18,2014-07-22,247,high_activity_user
AGVWTYW0ULXHT,244,3.971311475409836,2004-12-31,2014-07-10,244,high_activity_user
A203OCQQ12MAVT,240,4.458333333333333,2006-10-29,2013-02-07,240,high_activity_user
AEJAGHLC675A7,239,4.7698744769874475,2001-03-05,2014-05-22,239,high_activity_user
A2NYK9KWFMJV4Y,238,4.819327731092437,2002-10-04,2014-07-21,238,high_activity_user
A3A4ZAIBQWKOZS,236,4.669491525423729,2006-08-28,2014-07-22,236,high_activity_user
A31N0XY2UTB25C,227,4.71806167400881,2007-01-18,2014-07-12,227,high_activity_user
A2UOHALGF2X77Q,227,4.348017621145375,2005-08-25,2014-07-12,227,high_activity_user
A1T1YSCDW0PD25,227,4.348017621145375,2004-12-03,2014-07-19,227,high_activity_user
A3CW0ZLUO5X2B1,227,4.202643171806168,2002-05-04,2014-07-23,227,high_activity_user
A250AXLRBVYKB4,226,4.115044247787611,2008-08-13,2014-06-28,226,high_activity_user
A4WEZJOIZIV4U,225,4.5377777777777775,2005-01-05,2014-07-15,225,high_activity_user
A1CMD08Z49PGKQ,221,4.8099547511312215,2006-06-01,2014-07-20,221,high_activity_user
A1VQHH85U7PX0,220,4.504545454545455,2006-05-29,2014-07-18,220,high_activity_user
A1J75JJ0Q2OEJN,218,3.8990825688073394,2004-11-18,2014-07-14,218,high_activity_user
AOEAD7DPLZE53,218,3.573394495412844,2006-11-29,2014-07-15,218,high_activity_user
A11KZ906QD08C5,216,4.458333333333333,2005-04-29,2014-07-07,216,high_activity_user
A1F9Z42CFF9IAY,213,3.511737089201878,2001-07-24,2014-06-08,213,high_activity_user
A20DZX38KRBIT8,213,2.568075117370892,2005-11-15,2014-07-10,213,high_activity_user
AVPNQUVZWMDSX,212,4.221698113207547,2003-03-23,2014-07-21,212,high_activity_user
A3OA4DV4L81N1D,209,4.578947368421052,2006-01-22,2014-07-11,209,high_activity_user
A1EVV74UQYVKRY,208,4.605769230769231,2009-05-23,2014-07-17,208,high_activity_user
A1EXGL6L0QQ0M5,207,4.328502415458937,2004-12-27,2014-07-18,207,high_activity_user
AT6CZDCP4TRGA,207,3.6473429951690823,2002-10-05,2014-05-08,207,high_activity_user
A11I1I9QLMAM1A,205,4.46829268292683,2005-11-09,2014-07-20,205,high_activity_user
A3CG93783LP0FO,204,4.186274509803922,2008-10-11,2014-07-16,204,high_activity_user
A1X1CEGHTHMBL1,202,4.638613861386139,2009-05-13,2014-07-11,202,high_activity_user
A2BMZRO0H7TFCS,202,3.9356435643564356,2001-05-15,2014-07-14,202,high_activity_user
A1EH2S92FHWZRP,200,3.975,2003-05-09,2014-06-26,200,high_activity_user
A3NHUQ33CFH3VM,199,4.442211055276382,2009-08-17,2014-07-20,199,high_activity_user
AT28RL25Q2OLK,198,4.328282828282828,2000-06-24,2014-07-21,198,high_activity_user
A1E1LEVQ9VQNK,197,4.893401015228426,2006-03-19,2014-07-21,197,high_activity_user
ABDR6IJ93HFIO,197,4.842639593908629,2006-08-12,2014-07-18,197,high_activity_user
A38KK0SZYEH5UD,196,4.38265306122449,2005-09-05,2014-07-12,196,high_activity_user
A2WLNSZ9U0T1S3,196,4.3520408163265305,2007-12-31,2014-07-06,196,high_activity_user
A19W47CXJJP1MI,196,4.5,2008-10-24,2014-06-29,196,high_activity_user
ABQWMANK4AR63,193,3.9585492227979273,2002-09-17,2014-05-24,193,high_activity_user
AN81JUYW2SL24,193,4.181347150259067,2003-09-02,2014-07-05,193,high_activity_user
AKT8TGIT6VVZ5,192,4.833333333333333,2001-02-28,2014-07-22,192,high_activity_user
AZMY6E8B52L2T,189,4.714285714285714,2011-12-27,2014-07-22,189,high_activity_user
A3U41ZL33SS92P,182,3.565934065934066,2003-08-22,2014-07-18,182,high_activity_user
