amazon_record_id,product_id,main_category,topic_id,topic_label,topic_probability,is_dominant_topic
1,B07JW9H4J1,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.007594757022530857,False
1,B07JW9H4J1,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.007362271486834184,False
1,B07JW9H4J1,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9850429714906349,True
2,B098NS6PVG,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.0020920352300268247,False
2,B098NS6PVG,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.0020875350379384993,False
2,B098NS6PVG,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9958204297320347,True
3,B096MSW6CT,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.031404990172485985,False
3,B096MSW6CT,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.028748341239204073,False
3,B096MSW6CT,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9398466685883099,True
4,B08HDJ86NZ,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.007529219322693167,False
4,B08HDJ86NZ,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.007474428940027434,False
4,B08HDJ86NZ,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9849963517372795,True
5,B08CF3B7N1,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.0019002733276840963,False
5,B08CF3B7N1,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.001869084435428126,False
5,B08CF3B7N1,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9962306422368878,True
6,B08Y1TFSP6,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.02656594930935762,False
6,B08Y1TFSP6,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.024601167461448276,False
6,B08Y1TFSP6,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9488328832291941,True
7,B08WRWPM22,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.0177612444254852,False
7,B08WRWPM22,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.015657346318745567,False
7,B08WRWPM22,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9665814092557693,True
8,B08DDRGWTJ,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.004779365644292352,False
8,B08DDRGWTJ,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.005108793619833544,False
8,B08DDRGWTJ,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9901118407358741,True
9,B008IFXQFU,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.6219543495636052,True
9,B008IFXQFU,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.22744197064436905,False
9,B008IFXQFU,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.15060367979202577,False
10,B082LZGK39,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.0020920352300268247,False
10,B082LZGK39,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.0020875350379384993,False
10,B082LZGK39,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9958204297320347,True
11,B08CF3D7QR,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.005660894598105215,False
11,B08CF3D7QR,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.005588368684774789,False
11,B08CF3D7QR,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.98875073671712,True
12,B0789LZTCJ,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.007529219322693167,False
12,B0789LZTCJ,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.007474428940027434,False
12,B0789LZTCJ,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9849963517372795,True
13,B07KSMBL2H,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.006098731363250048,False
13,B07KSMBL2H,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.25092372224627507,False
13,B07KSMBL2H,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.7429775463904748,True
14,B085DTN6R2,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.00638486441028916,False
14,B085DTN6R2,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.07614264469026802,False
14,B085DTN6R2,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9174724908994429,True
15,B09KLVMZ3B,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.00875646460130968,False
15,B09KLVMZ3B,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.008583218431127821,False
15,B09KLVMZ3B,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9826603169675625,True
16,B083342NKJ,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.010197865596983163,False
16,B083342NKJ,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.01032954447723163,False
16,B083342NKJ,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9794725899257852,True
17,B0B6F7LX4C,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.00858529112611236,False
17,B0B6F7LX4C,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.9835363025799929,True
17,B0B6F7LX4C,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.007878406293894786,False
18,B082LSVT4B,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.0020920352300268247,False
18,B082LSVT4B,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.0020875350379384993,False
18,B082LSVT4B,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9958204297320347,True
19,B08WRBG3XW,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.004198715630329682,False
19,B08WRBG3XW,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.00452321150094259,False
19,B08WRBG3XW,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9912780728687278,True
20,B08DPLCM6T,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.5204982726416062,True
20,B08DPLCM6T,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.46483766301323254,False
20,B08DPLCM6T,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.014664064345161314,False
21,B09C6HXFC1,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.00910909594326286,False
21,B09C6HXFC1,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.008959490256086895,False
21,B09C6HXFC1,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9819314138006502,True
22,B085194JFL,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.00919986252388364,False
22,B085194JFL,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.5602265520456938,True
22,B085194JFL,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.43057358543042246,False
23,B09F6S8BT6,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.7438757258095333,True
23,B09F6S8BT6,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.21380821821552276,False
23,B09F6S8BT6,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.04231605597494405,False
24,B09NHVCHS9,Computers&Accessories,1,"Topic 1: Value, Usability & Everyday Products",0.009599270474691562,False
24,B09NHVCHS9,Computers&Accessories,2,"Topic 2: Smart Devices, Wearables & Audio",0.00952819212582266,False
24,B09NHVCHS9,Computers&Accessories,3,"Topic 3: Charging, Cables & Connectivity",0.9808725373994858,True
25,B0B1YVCJ2Y,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.7605300774272981,True
25,B0B1YVCJ2Y,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.22836841148564688,False
25,B0B1YVCJ2Y,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.011101511087055208,False
26,B01M4GGIVU,Electronics,1,"Topic 1: Value, Usability & Everyday Products",0.5584451274272831,True
26,B01M4GGIVU,Electronics,2,"Topic 2: Smart Devices, Wearables & Audio",0.07312425475548141,False
26,B01M4GGIVU,Electronics,3,"Topic 3: Charging, Cables & Connectivity",0.3684306178172356,False
