product_id,recommended_product_id,rank,item_similarity,co_rating_user_count,source_product_user_count,recommended_product_user_count
0972683275,B00DR0PDNE,1,0.0056657223796034,2,18,337
B00DR0PDNE,B00DVFLJDS,1,0.03,12,337,75
B00DR0PDNE,B003ES5ZUU,2,0.01788617886178862,11,337,289
B00DR0PDNE,B00BGGDVOO,3,0.012474012474012475,6,337,150
B00DR0PDNE,B009LL9VDG,4,0.012376237623762377,5,337,72
B00DR0PDNE,B007WTAJTO,5,0.010719754977029096,7,337,323
B00DR0PDNE,B003ELYQGG,6,0.010638297872340425,6,337,233
B00DR0PDNE,B008NMCPTQ,7,0.010101010101010102,4,337,63
B00DR0PDNE,B006OBGEHW,8,0.009708737864077669,4,337,79
B00DR0PDNE,B00B46XUQU,9,0.009685230024213076,4,337,80
B00DR0PDNE,B0019EHU8G,10,0.009074410163339383,5,337,219
B0012S4APK,B001OORMVQ,1,0.02142857142857143,3,116,27
B0012S4APK,B001TH7GSW,2,0.017964071856287425,3,116,54
B0012S4APK,B009ZGK6QS,3,0.01680672268907563,2,116,5
B0012S4APK,B008ATAIUU,4,0.01652892561983471,2,116,7
B0012S4APK,B008RI1YKC,5,0.01652892561983471,2,116,7
B0012S4APK,B0029U2YSA,6,0.016129032258064516,2,116,10
B0012S4APK,B00006BBAC,7,0.015748031496062992,2,116,13
B0012S4APK,B005003WAA,8,0.015503875968992248,2,116,15
B0012S4APK,B00104XCVO,9,0.015384615384615385,2,116,16
B0012S4APK,B002ISXBFI,10,0.015384615384615385,2,116,16
B001GTT0VO,B00546JKJC,1,0.034482758620689655,2,53,7
B001GTT0VO,B001QNBUA4,2,0.03333333333333333,2,53,9
B001GTT0VO,B003CP0OT2,3,0.027777777777777776,2,53,21
B001GTT0VO,B003FVVMS0,4,0.020833333333333332,2,53,45
B001GTT0VO,B007KEZMX4,5,0.0196078431372549,2,53,51
B001GTT0VO,B001UEBN42,6,0.019230769230769232,2,53,53
B00546JKJC,B0040VGBYO,1,0.06666666666666667,2,7,25
B00546JKJC,B001GTT0VO,2,0.034482758620689655,2,7,53
